#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r,psfMag_r,modelMag_r,extinction_r,specobjid,class,redshift,plate,mjd,fiberid
1237651495220281972,119.27561815891,43.8755036917912,25.39338,22.60865,20.61274,19.90108,19.52084,1402,301,2,86,2.31804,21.057,20.61274,0.09299851,7179982283054798848,GALAXY,0.4122913,6377,56243,431
1237651495220281977,119.252026727569,43.890565692548,23.82355,23.51927,20.14077,19.01583,18.47879,1402,301,2,86,3.486181,21.24675,20.14077,0.0943642,4146850248474777600,GALAXY,0.6004167,3683,55245,585
1237651495220282055,119.371044106731,43.8625650221268,23.00239,21.859,20.18322,19.5615,19.17795,1402,301,2,86,3.179795,21.24803,20.18322,0.09095129,7178779967526033408,GALAXY,0.3631278,6376,56269,153
1237651495220282091,119.241536400482,43.943946086409,22.21807,21.47798,19.95329,19.2417,18.7981,1402,301,2,86,3.138121,21.02683,19.95329,0.09451456,7179994652594165760,GALAXY,0.4454358,6377,56245,476
1237651495220282152,119.322034494342,43.9420622767582,25.52032,21.24528,19.42359,18.61041,18.18431,1402,301,2,86,4.693128,20.64188,19.42359,0.09319865,490919603887695872,GALAXY,0.4102778,436,51883,99
1237651495220282167,119.269575929197,43.9730014129848,23.0036,22.37896,20.74865,19.69324,19.10968,1402,301,2,86,2.287824,21.35583,20.74865,0.09166843,7179981733298984960,GALAXY,0.5539928,6377,56243,429
1237651495220282211,119.322705497469,43.9774352480812,25.05809,24.42438,21.93511,20.74644,20.06372,1402,301,2,86,2.199888,22.25083,21.93511,0.09270446,7178790687764404224,GALAXY,0.6008426,6376,56269,192
1237651495220282276,119.276811893209,43.8412916860603,24.00035,22.83734,20.63535,19.59004,19.09964,1402,301,2,86,2.553584,21.12673,20.63535,0.09147349,7178791512398125056,GALAXY,0.5801213,6376,56269,195
1237651495220282294,119.238399893218,43.8827514011139,23.37847,22.88452,21.56573,20.42161,19.98822,1402,301,2,86,2.083178,22.16155,21.56573,0.09462515,7178788488741148672,GALAXY,0.5987033,6376,56269,184
1237651495220282301,119.237047751605,43.8893482881482,23.47496,23.98148,21.69995,20.50266,19.9861,1402,301,2,86,1.713128,21.98414,21.69995,0.09488757,7179993553048983552,GALAXY,0.5933812,6377,56243,472
1237651495220282315,119.353025584429,43.8438398435545,25.27899,22.85468,21.15048,20.17747,20.0158,1402,301,2,86,1.968756,21.44444,21.15048,0.09017082,7178780242403940352,GALAXY,0.6265251,6376,56269,154
1237651495220282370,119.399245971858,43.8711710978781,23.48618,23.68242,21.58473,20.49756,19.87768,1402,301,2,86,2.970123,22.33577,21.58473,0.09127919,7179984207200147456,GALAXY,0.6553438,6377,56243,438
1237651495220282371,119.277449060823,43.9277901728465,21.67425,21.44257,20.34231,19.36921,19.1599,1402,301,2,86,2.970123,22.15072,20.34231,0.09369712,4146861242466981888,GALAXY,0.5995874,3683,55178,625
1237651495220282439,119.306343978115,43.9833155273095,25.04523,23.98343,21.73208,20.44477,19.93762,1402,301,2,86,2.399077,22.09667,21.73208,0.09194417,7179983932322240512,GALAXY,0.5990096,6377,56243,437
1237651495220346897,119.365181906496,43.995672388409,23.99482,22.09158,20.20586,19.1692,19.16617,1402,301,2,87,5.423677,21.34712,20.20586,0.09290416,5095950889862322176,GALAXY,0.5059186,4526,55559,465
1237651495220346973,119.477653215396,43.9632481811682,23.38047,21.922,20.11108,19.44921,19.12325,1402,301,2,87,4.322725,20.67012,20.11108,0.09305208,7179972937205962752,GALAXY,0.3649873,6377,56243,397
1237651495220347351,119.350390235628,44.0109213307171,26.71461,22.27068,21.13222,20.08549,19.5881,1402,301,2,87,7.360575,21.6958,21.13222,0.09195653,7178781341915568128,GALAXY,0.598756,6376,56269,158
1237651495220347434,119.425932815091,44.0304730752005,23.01628,22.10302,20.32309,19.57618,18.95644,1402,301,2,87,2.591576,20.93432,20.32309,0.09065209,7178778868014405632,GALAXY,0.4605661,6376,56269,149
1237651495220347466,119.36162205215,44.0819965504231,25.78838,22.71232,20.69272,20.09896,20.01929,1402,301,2,87,1.912621,20.91461,20.69272,0.08844106,7178781616793475072,GALAXY,0.3818966,6376,56269,159
1237651495220347507,119.388164411286,44.1010468434595,22.20321,21.22499,19.53682,18.90846,18.40747,1402,301,2,87,2.492859,20.21084,19.53682,0.08724587,7180031486200141824,GALAXY,0.382436,6377,56243,610
1237651495220347538,119.384991858402,44.1214118342009,24.10427,22.46131,21.8193,20.61854,20.04862,1402,301,2,87,1.943011,22.13786,21.8193,0.08687083,7178973756450428928,GALAXY,0.6015946,6376,56269,858
1237651495220347553,119.38638466175,44.127648604789,24.33351,22.21922,20.56128,19.86253,19.3978,1402,301,2,87,2.09511,21.07328,20.56128,0.08674403,7193397699756185600,GALAXY,0.3422611,6389,56270,84
1237651495220347589,119.467050405041,43.9394567683605,23.16449,23.21634,21.46966,20.32192,19.69216,1402,301,2,87,2.892898,22.24632,21.46966,0.09351268,7179983382566426624,GALAXY,0.6096204,6377,56243,435
1237651495220347594,119.333281670977,44.008271042843,25.65752,22.61519,20.99105,19.87284,19.32095,1402,301,2,87,7.360575,21.99009,20.99105,0.09172851,7179984482078054400,GALAXY,0.5988845,6377,56243,439
1237651495220347626,119.396315257058,44.0320048493964,23.91489,24.08203,21.42179,20.37182,19.48173,1402,301,2,87,2.607007,22.09569,21.42179,0.09121232,7180021590595491840,GALAXY,0.6083896,6377,56243,574
1237651495220347627,119.477419505081,43.9953951253037,24.3807,22.93554,21.18011,20.11397,19.48694,1402,301,2,87,2.485795,21.83563,21.18011,0.0921444,5095950340106508288,GALAXY,0.6016229,4526,55559,463
1237651495220347635,119.422361284994,44.0336277593628,23.38774,23.62224,21.52136,20.5091,19.95595,1402,301,2,87,2.282523,21.9666,21.52136,0.09051725,7180031761078048768,GALAXY,0.5228307,6377,56243,611
1237651495220347640,119.483547864598,44.0144218255312,25.0152,23.90093,21.91829,20.44917,19.90636,1402,301,2,87,1.508288,22.36678,21.91829,0.09083828,7178781067037661184,GALAXY,0.6014175,6376,56269,157
1237651495220347643,119.456978261416,44.0309165354946,23.03891,22.59422,21.72369,20.47341,19.89654,1402,301,2,87,2.217308,22.36358,21.72369,0.09004049,7180034234979211264,GALAXY,0.6847762,6377,56243,620
