#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r,psfMag_r,modelMag_r,extinction_r,specobjid,class,redshift,plate,mjd,fiberid
1237649918434410672,27.9096889268938,12.752204321064,21.29749,20.74635,20.48615,20.40611,19.97815,1035,301,1,147,1.185459,20.46727,20.48615,0.134888,5243420963329300480,QSO,2.282464,4657,55591,382
1237649918434410684,27.9377809714866,12.7368665492485,21.44568,20.72319,20.09171,19.97371,19.60449,1035,301,1,147,1.44143,20.11087,20.09171,0.1304777,12444824424678709248,QSO,1.065326,11053,58437,919
1237649918434476301,28.1114939486311,12.6937118445832,20.58181,20.42338,20.00234,20.08053,20.26561,1035,301,1,148,1.507628,20.00575,20.00234,0.1203315,12444825524190337024,QSO,1.379882,11053,58437,923
1237649918434476303,28.1421504108861,12.6804931699478,20.74913,20.51552,20.25829,19.82698,19.45306,1035,301,1,148,1.44145,20.29699,20.25829,0.1230523,12444838443451963392,QSO,1.475759,11053,58437,970
1237649918434476304,28.1543051241001,12.6773361477452,20.65461,20.4465,20.51187,20.21161,20.12682,1035,301,1,148,1.449654,20.57712,20.51187,0.1235905,12472857848018393088,QSO,2.162897,11078,58437,504
1237649918434476307,28.1620261324894,12.6117460963041,21.42997,21.45286,21.10372,20.93052,20.74648,1035,301,1,148,1.241284,21.16423,21.10372,0.1270055,12472860596797462528,QSO,1.002438,11078,58437,514
1237649918434541607,28.2383192849917,12.7007317109229,23.30546,21.97673,22.53205,22.06723,21.43625,1035,301,1,149,2.969469,22.3397,22.53205,0.1220647,5242343445910280192,QSO,3.496688,4656,55828,558
1237649918434541878,28.3149797574275,12.6061945217229,20.70632,20.21248,20.03294,19.99606,19.55533,1035,301,1,149,1.511743,20.05563,20.03294,0.1225043,5242343995666094080,QSO,2.495116,4656,55828,560
1237649918434541930,28.2217749492297,12.7247391467971,22.7702,22.06516,21.54406,21.45448,21.14714,1035,301,1,149,1.26963,21.5439,21.54406,0.1220529,12444836244428707840,QSO,2.47671,11053,58437,962
1237649918434607191,28.4628368366142,12.6435478774296,18.103,17.76134,17.84407,17.63691,17.69711,1035,301,1,150,1.528971,17.86858,17.84407,0.1267228,484170801415743488,QSO,0.5356297,430,51877,123
1237649918434607320,28.3790336143034,12.6049376317844,21.80536,21.43819,21.23187,20.9136,20.20531,1035,301,1,150,1.407243,21.22423,21.23187,0.1215635,12472864170210252800,QSO,2.162858,11078,58437,527
1237649918434672688,28.5844938700257,12.6821074951379,19.28444,18.95165,18.91221,18.7232,18.52999,1035,301,1,151,1.725497,18.95512,18.91221,0.1509484,484172175805278208,QSO,0.4770688,430,51877,128
1237649918434672728,28.6367593158128,12.6710088380839,18.6118,18.36378,18.22144,18.25268,18.16141,1035,301,1,151,1.587329,18.22472,18.22144,0.1533402,484171076293650432,QSO,0.7871585,430,51877,124
1237649918434672779,28.5572205476483,12.7378360001382,19.75843,19.78716,19.40234,19.24642,19.30404,1035,301,1,151,1.505152,19.4212,19.40234,0.1592318,12472864719966066688,QSO,1.435881,11078,58437,529
1237649918434738429,28.7648055165065,12.5151004554145,21.7854,21.42152,21.27634,20.81602,20.3531,1035,301,1,152,7.356828,21.31402,21.27634,0.1252694,12472877089471879168,QSO,1.671088,11078,58437,574
1237649918434803827,28.8496067804422,12.5341610847378,18.55402,18.26435,18.10807,17.84726,17.91699,1035,301,1,153,1.501777,18.10551,18.10807,0.1389312,484161455566907392,QSO,1.630651,430,51877,89
1237649918434804254,28.896673557033,12.6350847967654,22.39549,22.04445,22.06431,21.78761,21.74381,1035,301,1,153,1.359067,22.14345,22.06431,0.1507669,12472886985076529152,QSO,2.132589,11078,58437,610
1237649918434869536,29.0000354190418,12.6744740735066,20.17445,20.06839,19.87631,19.84786,19.50497,1035,301,1,154,1.315972,19.86129,19.87631,0.1398169,12472896056047458304,QSO,0.909488,11078,58437,643
1237649918434869554,29.0382380451312,12.6133331866058,20.37094,20.19797,20.2203,19.97423,20.08464,1035,301,1,154,1.480549,20.27019,20.2203,0.1498925,12472898529948620800,QSO,1.698162,11078,58437,652
1237649918434934878,29.2354994703217,12.6522306345418,19.64216,19.49031,19.27901,18.99259,19.00102,1035,301,1,155,1.494476,19.29904,19.27901,0.1392527,484152109718071296,QSO,1.632434,430,51877,55
1237649918434934991,29.1467528360466,12.5556213039825,21.15267,20.9493,20.85465,20.56888,20.68553,1035,301,1,155,1.464008,20.8507,20.85465,0.1518691,12472908425553270784,QSO,1.577021,11078,58437,688
1237649918435000494,29.3880908627863,12.5552392279154,21.74973,21.86496,21.47777,21.12917,20.84652,1035,301,1,156,1.145118,21.4558,21.47777,0.1428641,12472919420669548544,QSO,1.283203,11078,58437,728
1237649918435000690,29.2670744315845,12.4828602483686,24.18838,22.30043,20.16454,19.84525,19.61139,1035,301,1,156,1.340657,20.1987,20.16454,0.1569134,5242389625398646784,QSO,4.194944,4656,55828,726
1237649918435065918,29.5261760234131,12.5510604821103,24.49048,20.75916,20.36717,20.20919,20.73395,1035,301,1,157,1.41106,20.39769,20.36717,0.1450162,5242404468805621760,QSO,3.251788,4656,55828,780
1237649918435065993,29.5511098726549,12.5323604243667,21.15144,20.58351,20.14542,19.74644,19.67606,1035,301,1,157,3.955396,20.15672,20.14542,0.1460562,12472932065053267968,QSO,1.484508,11078,58437,774
1237649918435066024,29.4378342398024,12.4786002482389,21.69582,21.71739,21.3315,21.05794,21.88545,1035,301,1,157,1.080397,21.32531,21.3315,0.1559092,12472931515297454080,QSO,1.204492,11078,58437,772
1237649918435066036,29.3999371764113,12.455730098712,22.02295,21.98174,21.79393,21.52893,21.42797,1035,301,1,157,1.443261,21.78187,21.79393,0.1604909,12472920520181176320,QSO,1.662092,11078,58437,732
1237649918435066046,29.4483396915745,12.5846090913962,21.20081,21.05605,20.74125,20.4705,20.21335,1035,301,1,157,3.513171,20.90588,20.74125,0.1421605,12472931240419547136,QSO,2.014643,11078,58437,771
1237649918435066056,29.4559091147566,12.4739706838083,21.24208,20.30096,19.84411,19.51616,19.22498,1035,301,1,157,1.394286,19.84939,19.84411,0.1585726,5242399521003296768,QSO,2.815346,4656,55828,762
1237649918435066084,29.5250820632616,12.541608251677,21.58237,21.48337,21.22967,21.26876,20.7086,1035,301,1,157,1.363048,21.27922,21.22967,0.1462744,12472931790175361024,QSO,1.077819,11078,58437,773
1237649918435131591,29.6940693580826,12.4420856738208,19.28776,19.08611,18.81408,18.79247,18.63268,1035,301,1,158,1.312211,18.81558,18.81408,0.1931023,480838456935737344,QSO,1.02236,427,51900,288
1237649918435131796,29.6168571826889,12.4971852994528,22.28311,21.8869,21.72877,22.36678,21.48727,1035,301,1,158,1.206738,21.73658,21.72877,0.155242,12472942510413731840,QSO,2.424483,11078,58437,812
1237649918435196954,29.7402060078542,12.5382743099803,19.21739,19.0622,18.72004,18.67779,18.81664,1035,301,1,159,1.311791,18.71804,18.72004,0.1573055,3506054039253131264,QSO,1.239391,3114,54773,6
1237649918435197098,29.8531844945057,12.5652725227778,20.03975,19.44593,19.20246,19.12292,19.02163,1035,301,1,159,1.561485,19.29023,19.20246,0.156999,12472953230652102656,QSO,0.7154536,11078,58437,851
1237649918435197244,29.8541262772872,12.4085516783461,21.70296,21.31828,21.25238,21.07277,21.00052,1035,301,1,159,2.442599,21.33582,21.25238,0.1922709,12472954055285823488,QSO,1.775196,11078,58437,854
1237649918435262709,29.872564588209,12.4052732922491,20.77998,20.64045,20.22913,20.08041,19.88783,1035,301,1,160,1.824104,20.22594,20.22913,0.1917527,12472954605041637376,QSO,1.254477,11078,58437,856
1237649918435262741,29.9944113642532,12.5903346048665,21.3207,20.97863,20.62672,20.47081,20.54377,1035,301,1,160,1.403061,20.67482,20.62672,0.1595986,12472953780407916544,QSO,1.437414,11078,58437,853
1237649918435328243,30.0641994540327,12.4137510929878,21.71895,21.31776,21.11611,21.08202,20.95927,1035,301,1,161,1.499369,21.30662,21.11611,0.1796504,12472966424791635968,QSO,2.551225,11078,58437,899
1237649918435328267,30.1533054195062,12.5319937985606,20.55523,20.47077,20.24846,19.96719,19.74304,1035,301,1,161,1.196627,20.27041,20.24846,0.184392,480826362307831808,QSO,1.964341,427,51900,244
